,title,artist,rank,date,weeks
167,Let The Little Girl Dance,Billy Bland,99,1960-02-15,1
168,Paradise,Sammy Turner,100,1960-02-15,1
169,(Welcome) New Lovers,Pat Boone,60,1960-02-22,1
170,String Along,Fabian,61,1960-02-22,1
171,Puppy Love,Paul Anka,62,1960-02-22,1
172,Mama,Connie Francis,63,1960-02-22,1
173,This Magic Moment,The Drifters,67,1960-02-22,1
174,O Dio Mio,Annette,68,1960-02-22,1
175,Chattanooga Shoe Shine Boy,Freddy Cannon,70,1960-02-22,1
176,Don't Fence Me In,Tommy Edwards,86,1960-02-22,1
177,Lawdy Miss Clawdy,Gary Stites,88,1960-02-22,1
178,Anyway The Wind Blows,Doris Day,91,1960-02-22,1
179,Angela Jones,Johnny Ferguson,92,1960-02-22,1
180,Sleepy Lagoon,The Platters,93,1960-02-22,1
181,Greenfields,The Brothers Four,95,1960-02-22,1
182,Alvin's Orchestra,David Seville And The Chipmunks,98,1960-02-22,1
183,El Matador,The Kingston Trio,99,1960-02-22,1
184,Let Them Talk,Little Willie John,100,1960-02-22,1
185,About This Thing Called Love,Fabian,53,1960-02-29,1
186,Teddy,Connie Francis,77,1960-02-29,1
187,Summer Set,Monty Kelly And His Orchestra,82,1960-02-29,1
188,Werewolf,The Frantics,83,1960-02-29,1
189,Starbright,Johnny Mathis,84,1960-02-29,1
190,Chattanooga Choo Choo,Ernie Fields & Orch.,85,1960-02-29,1
191,The Same Old Me,Guy Mitchell,89,1960-02-29,1
192,Step By Step,The Crests,90,1960-02-29,1
193,You Don't Know Me,Lenny Welch,95,1960-02-29,1
194,Mountain Of Love,Harold Dorman,96,1960-02-29,1
195,Road Runner,Bo Diddley,97,1960-02-29,1
196,The Old Payola Roll Blues (Side I),Stan Freberg,99,1960-02-29,1
197,Just Give Me A Ring,Clyde McPhatter,100,1960-02-29,1
198,Sink The Bismark,Johnny Horton,69,1960-03-07,1
199,White Silver Sands,Bill Black's Combo,70,1960-03-07,1
