,title,artist,rank,date,weeks
13465,"Let's Go Dancin' (ooh La, La, La)",Kool & The Gang,79,1982-10-25,1
13466,1999,Prince,81,1982-10-25,1
13467,Stand Or Fall,The Fixx,84,1982-10-25,1
13468,I Wouldn't Beg For Water,Sheena Easton,86,1982-10-25,1
13469,Bad Boy/Having A Party,Luther Vandross,90,1982-10-25,1
13470,The Girl Is Mine,Michael Jackson And Paul McCartney,45,1982-11-01,1
13471,Hand To Hold On To,John Cougar,72,1982-11-01,1
13472,You Can't Hurry Love,Phil Collins,77,1982-11-01,1
13473,Does It Make You Remember,Kim Carnes,78,1982-11-01,1
13474,Down Under,Men At Work,79,1982-11-01,1
13475,I Know There's Something Going On,Frida,88,1982-11-01,1
13476,Theme From Dynasty,Bill Conti,89,1982-11-01,1
13477,You've Got Another Thing Comin',Judas Priest,90,1982-11-01,1
13478,You Got Lucky,Tom Petty And The Heartbreakers,58,1982-11-08,1
13479,Two Less Lonely People In The World,Air Supply,72,1982-11-08,1
13480,I Gotta Try,Michael McDonald,76,1982-11-08,1
13481,Forever Mine,The Motels,77,1982-11-08,1
13482,Valerie,Steve Winwood,79,1982-11-08,1
13483,Space Age Love Song,A Flock Of Seagulls,83,1982-11-08,1
13484,Goody Two Shoes,Adam Ant,85,1982-11-08,1
13485,Goodbye To You,Scandal Featuring Patty Smyth,86,1982-11-08,1
13486,Pledge Pin,Robert Plant,89,1982-11-08,1
13487,Put It In A Magazine,Sonny Charles,90,1982-11-08,1
13488,I Do,The J. Geils Band,56,1982-11-15,1
13489,The Other Guy,Little River Band,59,1982-11-15,1
13490,Wake Up My Love,George Harrison,68,1982-11-15,1
13491,"(you're So Square) Baby, I Don't Care",Joni Mitchell,78,1982-11-15,1
13492,Memory,Barry Manilow,79,1982-11-15,1
13493,Heart To Heart,Kenny Loggins,59,1982-11-22,1
13494,Love In Store,Fleetwood Mac,72,1982-11-22,1
13495,Heart Of The Night,Juice Newton,73,1982-11-22,1
13496,Allentown,Billy Joel,76,1982-11-22,1
13497,Right Before Your Eyes,America,78,1982-11-22,1
13498,Nowhere To Run,Santana,79,1982-11-22,1
13499,Twilight Zone,Golden Earring,80,1982-11-22,1
13500,Psychobabble,The Alan Parsons Project,82,1982-11-22,1
13501,The Elvis Medley,Elvis Presley,84,1982-11-22,1
13502,Bad Boy,Ray Parker Jr.,70,1982-11-29,1
13503,Do You Really Want To Hurt Me,Culture Club,80,1982-11-29,1
13504,Cross My Heart,Lee Ritenour,82,1982-11-29,1
13505,After I Cry Tonight,Lanier & Co.,84,1982-11-29,1
13506,Painted Picture,Commodores,85,1982-11-29,1
13507,On The Loose,Saga,86,1982-11-29,1
13508,Your Love Is Driving Me Crazy,Sammy Hagar,70,1982-12-06,1
13509,All Those Lies,Glenn Frey,73,1982-12-06,1
13510,I Knew You When,Linda Ronstadt,77,1982-12-06,1
13511,Pass The Dutchie,Musical Youth,80,1982-12-06,1
13512,Papa Was A Rollin' Stone,Wolf,82,1982-12-06,1
13513,Give It Up,The Steve Miller Band,83,1982-12-06,1
13514,Don't Stop Trying,Rodway,84,1982-12-06,1
13515,Funny How Time Slips Away,The Spinners,86,1982-12-06,1
13516,Back On The Chain Gang,Pretenders,88,1982-12-06,1
13517,The Clapping Song,Pia Zadora,90,1982-12-06,1
13518,Shame On The Moon,Bob Seger & The Silver Bullet Band,40,1982-12-13,1
13519,The Woman In Me,Donna Summer,78,1982-12-13,1
13520,Young Love,Janet Jackson,79,1982-12-13,1
13521,All Touch,Rough Trade,81,1982-12-13,1
13522,Are You Getting Enough Happiness,Hot Chocolate,85,1982-12-13,1
13523,Shoot For The Moon,Poco,89,1982-12-13,1
13524,"Beg, Borrow Or Steal",Hughes/Thrall,90,1982-12-13,1
13525,Stray Cat Strut,Stray Cats,43,1982-12-20,1
13526,Hungry Like The Wolf,Duran Duran,77,1982-12-20,1
13527,Eminence Front,The Who,80,1982-12-20,1
13528,Forever,Little Steven,81,1982-12-20,1
13529,Are You Serious,Tyrone Davis,88,1982-12-20,1
13530,Take The Time,Michael Stanley Band,89,1982-12-20,1
13531,What If (I Said I Love You),Unipop,90,1982-12-20,1
13532,Got To Be There,Chaka Khan,82,1983-01-03,1
13533,Burning Heart,Vandenberg,83,1983-01-03,1
13534,Industrial Disease,Dire Straits,86,1983-01-03,1
13535,Still Taking Chances,Michael Murphey,88,1983-01-03,1
13536,Feet Don't Fail Me Now,Utopia,90,1983-01-03,1
13537,You Are,Lionel Richie,49,1983-01-10,1
13538,I'm Alive,Neil Diamond,72,1983-01-10,1
13539,Breaking Us In Two,Joe Jackson,73,1983-01-10,1
13540,Tied Up,Olivia Newton-John,76,1983-01-10,1
13541,Dreamin' Is Easy,Steel Breeze,80,1983-01-10,1
13542,I Can't Stand Still,Don Henley,83,1983-01-10,1
13543,Don't Tell Me You Love Me,Night Ranger,86,1983-01-10,1
13544,Windows,Missing Persons,88,1983-01-10,1
13545,Betcha She Don't Love You,Evelyn King,90,1983-01-10,1
13546,Always,Firefall,91,1983-01-10,1
13547,All Right,Christopher Cross,29,1983-01-17,1
13548,Billie Jean,Michael Jackson,47,1983-01-17,1
13549,The Blues,Randy Newman & Paul Simon,73,1983-01-17,1
13550,Fall In Love With Me,"Earth, Wind & Fire",78,1983-01-17,1
13551,Come On Eileen,Dexys Midnight Runners,79,1983-01-17,1
13552,Lies,Thompson Twins,80,1983-01-17,1
13553,Love Me Again,The John Hall Band,86,1983-01-17,1
13554,It's Raining Men,The Weather Girls,88,1983-01-17,1
13555,The One That Really Matters,Survivor,90,1983-01-17,1
13556,We've Got Tonight,Kenny Rogers And Sheena Easton,36,1983-01-24,1
13557,One On One,Daryl Hall John Oates,51,1983-01-24,1
13558,My Kind Of Lady,Supertramp Featuring Rick Davies,56,1983-01-24,1
13559,I've Got A Rock N' Roll Heart,Eric Clapton,61,1983-01-24,1
13560,Winds Of Change,Jefferson Starship,70,1983-01-24,1
13561,Poison Arrow,ABC,72,1983-01-24,1
13562,Jeopardy,Greg Kihn Band,77,1983-01-24,1
13563,What You're Missing,Chicago,81,1983-01-24,1
13564,Little Thing Called Love,Neil Young,84,1983-01-24,1
13565,New Frontier,Donald Fagen,86,1983-01-24,1
13566,Too Much Love To Hide,"Crosby, Stills & Nash",89,1983-01-24,1
13567,It Might Be You,Stephen Bishop,90,1983-01-24,1
13568,Separate Ways (Worlds Apart),Journey,36,1983-01-31,1
13569,So Close,Diana Ross,65,1983-01-31,1
13570,Nice Girls,Melissa Manchester,69,1983-01-31,1
13571,I Like It,Debarge,70,1983-01-31,1
13572,Little Too Late,Pat Benatar,73,1983-01-31,1
13573,Make Love Stay,Dan Fogelberg,80,1983-01-31,1
13574,Voo Doo,Rachel Sweet,84,1983-01-31,1
13575,She's A Runner,Billy Squier,88,1983-01-31,1
13576,Come Give Your Love To Me,Janet Jackson,89,1983-01-31,1
13577,Mr. Roboto,Styx,40,1983-02-07,1
13578,Der Kommissar,After The Fire,75,1983-02-07,1
13579,Something To Grab For,Ric Ocasek,76,1983-02-07,1
13580,Bread And Butter,Robert John,79,1983-02-07,1
13581,I Don't Care Anymore,Phil Collins,86,1983-02-07,1
13582,The Fanatic,Felony,87,1983-02-07,1
13583,Whirly Girl,Oxo,73,1983-02-14,1
13584,She Blinded Me With Science,Thomas Dolby,77,1983-02-14,1
13585,What Love Is,Marty Balin,78,1983-02-14,1
13586,Change Of Heart,Tom Petty And The Heartbreakers,54,1983-02-21,1
13587,Take The Short Way Home,Dionne Warwick,65,1983-02-21,1
13588,Little Red Corvette,Prince,66,1983-02-21,1
13589,Land Of A Thousand Dances,The J. Geils Band,77,1983-02-21,1
13590,Beat It,Michael Jackson,78,1983-02-21,1
13591,Some Kind Of Friend,Barry Manilow,79,1983-02-21,1
13592,Shoppin' From A To Z,Toni Basil,83,1983-02-21,1
13593,Please Mr. Postman,Gentle Persuasion,89,1983-02-21,1
13594,Only You,Yazoo,90,1983-02-21,1
13595,Love My Way,Psychedelic Furs,73,1983-02-28,1
13596,Swingin',John Anderson,75,1983-02-28,1
13597,Sex (I'm A...),Berlin,79,1983-02-28,1
13598,Minimum Love,Mac McAnally,81,1983-02-28,1
13599,Escalator Of Life,Robert Hazard,83,1983-02-28,1
13600,Keep It Tight,Single Bullet Theory,84,1983-02-28,1
13601,You Are In My System,The System,90,1983-02-28,1
13602,Welcome To Heartlight,Kenny Loggins,65,1983-03-07,1
13603,I Won't Hold You Back,Toto,67,1983-03-07,1
13604,Even Now,Bob Seger & The Silver Bullet Band,74,1983-03-07,1
13605,Outstanding,The Gap Band,79,1983-03-07,1
13606,Let Me Go,Heaven 17,80,1983-03-07,1
13607,Straight From The Heart,Bryan Adams,81,1983-03-07,1
13608,Walking In L.a.,Missing Persons,83,1983-03-07,1
13609,Always Something There To Remind Me,Naked Eyes,85,1983-03-07,1
13610,Desperate But Not Serious,Adam Ant,86,1983-03-07,1
13611,Photograph,Def Leppard,87,1983-03-07,1
13612,Smiling Islands,Robbie Patton,90,1983-03-07,1
13613,Solitaire,Laura Branigan,65,1983-03-14,1
13614,Goodnight Saigon,Billy Joel,71,1983-03-14,1
13615,So Wrong,Patrick Simmons,72,1983-03-14,1
13616,Mornin',Jarreau,80,1983-03-14,1
13617,Carrie's Gone,LeRoux,81,1983-03-14,1
13618,American Made,The Oak Ridge Boys,82,1983-03-14,1
13619,Eenie Meenie,Jeffrey Osborne,83,1983-03-14,1
13620,Mexican Radio,Wall Of Voodoo,90,1983-03-14,1
13621,Let's Dance,David Bowie,54,1983-03-21,1
13622,Stranger In My House,Ronnie Milsap,71,1983-03-21,1
13623,If You Wanna Get Back Your Lady,The Pointer Sisters,72,1983-03-21,1
13624,I Couldn't Say No,Robert Ellis Orral With Carlene Carter,75,1983-03-21,1
13625,Never Give Up,Sammy Hagar,79,1983-03-21,1
13626,Wind Beneath My Wings,Lou Rawls,82,1983-03-21,1
13627,I Won't Be Home Tonight,Tony Carey,89,1983-03-21,1
13628,The One Thing,INXS,90,1983-03-21,1
13629,Rio,Duran Duran,58,1983-03-28,1
13630,Flashdance...What A Feeling,Irene Cara,77,1983-03-28,1
13631,Gimme All Your Lovin,ZZ Top,79,1983-03-28,1
13632,Try Again,Champaign,83,1983-03-28,1
13633,I Melt With You,Modern English,85,1983-03-28,1
13634,Love's Got A Line On You,Scandal Featuring Patty Smyth,87,1983-03-28,1
13635,Wind Him Up,Saga,89,1983-03-28,1
13636,New Year's Day,U2,90,1983-03-28,1
13637,Overkill,Men At Work,28,1983-04-04,1
13638,My Love,Lionel Richie,55,1983-04-04,1
13639,Sing Me Away,Night Ranger,75,1983-04-04,1
13640,Fool Moon Fire,Walter Egan,77,1983-04-04,1
13641,She's A Beauty,The Tubes,82,1983-04-04,1
13642,Reap The Wild Wind,Ultravox,85,1983-04-04,1
13643,Count On Me,Gerard McMahon,87,1983-04-04,1
13644,Affair Of The Heart,Rick Springfield,53,1983-04-11,1
13645,Faithfully,Journey,55,1983-04-11,1
13646,Time (Clock Of The Heart),Culture Club,59,1983-04-11,1
13647,I Eat Cannibals,Total Coelo,80,1983-04-11,1
13648,Why Me?,Planet P,83,1983-04-11,1
13649,Cool Places,Sparks & Jane Wiedlin,86,1983-04-11,1
13650,Love On My Mind Tonight,The Temptations,88,1983-04-11,1
13651,Electric Avenue,Eddy Grant,89,1983-04-11,1
13652,Never Gonna Let You Go,Sergio Mendes,90,1983-04-11,1
13653,Looking For A Stranger,Pat Benatar,71,1983-04-18,1
13654,You Can't Run From Love,Eddie Rabbitt,73,1983-04-18,1
13655,Easy For You To Say,Linda Ronstadt,77,1983-04-18,1
13656,Too Shy,Kajagoogoo,81,1983-04-18,1
13657,All This Love,Debarge,83,1983-04-18,1
13658,Front Page Story,Neil Diamond,84,1983-04-18,1
13659,Do You Wanna Hold Me?,Bow Wow Wow,85,1983-04-18,1
13660,The Devil Made Me Do It,Golden Earring,87,1983-04-18,1
13661,Don't Let It End,Styx,35,1983-04-25,1
13662,Family Man,Daryl Hall John Oates,43,1983-04-25,1
13663,All My Life,Kenny Rogers,76,1983-04-25,1
13664,That's Love,Jim Capaldi,77,1983-04-25,1
13665,Don't Pay The Ferryman,Chris de Burgh,78,1983-04-25,1
13666,Love On Your Side,Thompson Twins,85,1983-04-25,1
13667,Tonight,The Whispers,87,1983-04-25,1
13668,"Where Everybody Knows Your Name (The Theme From ""Cheers"")",Gary Portnoy,89,1983-04-25,1
13669,Ricky,"""Weird Al"" Yankovic",90,1983-04-25,1
13670,I'm Still Standing,Elton John,56,1983-05-02,1
13671,No Time For Talk,Christopher Cross,59,1983-05-02,1
13672,We Two,Little River Band,74,1983-05-02,1
13673,Our House,Madness,76,1983-05-02,1
13674,Bang The Drum All Day,Todd Rundgren,78,1983-05-02,1
13675,Sign Of The Times,The Belle Stars,81,1983-05-02,1
13676,The Walls Came Down,The Call,87,1983-05-02,1
13677,Candy Girl,New Edition,88,1983-05-02,1
13678,The Closer You Get,Alabama,89,1983-05-02,1
13679,Come Dancing,The Kinks,90,1983-05-02,1
13680,Inside Love (so Personal),George Benson,76,1983-05-09,1
13681,How Do You Keep The Music Playing,James Ingram And Patti Austin,80,1983-05-09,1
13682,Side By Side,"Earth, Wind & Fire",82,1983-05-09,1
13683,Wishing (If I Had A Photograph Of You),A Flock Of Seagulls,83,1983-05-09,1
13684,When I'm With You,Sheriff,86,1983-05-09,1
13685,I Cannot Believe It's True,Phil Collins,87,1983-05-09,1
13686,What You Do To Me,Carl Wilson,89,1983-05-09,1
13687,Sweet Dreams (Are Made Of This),Eurythmics,90,1983-05-09,1
13688,Slipping Away,Dave Edmunds,93,1983-05-09,1
13689,Fools Game,Michael Bolton,95,1983-05-09,1
13690,The Woman In You,Bee Gees,49,1983-05-16,1
13691,White Wedding,Billy Idol,71,1983-05-16,1
13692,Theme From Doctor Detroit,Devo,77,1983-05-16,1
13693,The Salt In My Tears,Martin Briley,86,1983-05-16,1
13694,Save The Overtime (For Me),Gladys Knight And The Pips,90,1983-05-16,1
13695,Whatever Happened To Old Fashioned Love,B.J. Thomas,93,1983-05-16,1
13696,He's A Pretender,High Inergy,95,1983-05-16,1
13697,Wanna Be Startin' Somethin',Michael Jackson,41,1983-05-23,1
13698,Baby Jane,Rod Stewart,53,1983-05-23,1
13699,Roll Me Away,Bob Seger & The Silver Bullet Band,55,1983-05-23,1
13700,She Works Hard For The Money,Donna Summer,67,1983-05-23,1
13701,(Keep Feeling) Fascination,The Human League,72,1983-05-23,1
13702,I.o.u.,Lee Greenwood,77,1983-05-23,1
13703,Saved By Zero,The Fixx,80,1983-05-23,1
13704,The Metro,Berlin,88,1983-05-23,1
13705,The Celtic Soul Brothers,Dexys Midnight Runners,90,1983-05-23,1
13706,Dancing In The Shadows,After The Fire,91,1983-05-23,1
13707,Drop The Pilot,Joan Armatrading,95,1983-05-23,1
13708,Every Breath You Take,The Police,36,1983-05-30,1
13709,Is There Something I Should Know,Duran Duran,57,1983-05-30,1
13710,Stand Back,Stevie Nicks,60,1983-05-30,1
13711,China Girl,David Bowie,74,1983-05-30,1
13712,Love Never Fails,Greg Kihn Band,77,1983-05-30,1
13713,Stop In The Name Of Love,The Hollies,79,1983-05-30,1
13714,Maniac,Michael Sembello,89,1983-05-30,1
13715,Love Is The Key,Maze Featuring Frankie Beverly,90,1983-05-30,1
13716,China,Red Rockers,92,1983-05-30,1
13717,Fade Away,Loz Netto,94,1983-05-30,1
13718,Keep It Confidential,Nona Hendryx,95,1983-05-30,1
13719,Hot Girls In Love,Loverboy,60,1983-06-06,1
13720,Cuts Like A Knife,Bryan Adams,69,1983-06-06,1
13721,Rock Of Ages,Def Leppard,75,1983-06-06,1
13722,Solid Rock,Goanna,87,1983-06-06,1
13723,Space Age Whiz Kids,Joe Walsh,89,1983-06-06,1
13724,Take Me To Heart,Quarterflash,59,1983-06-13,1
13725,Midnight Blue,Louise Tucker,78,1983-06-13,1
13726,Europa And The Pirate Twins,Thomas Dolby,81,1983-06-13,1
13727,The Border,America,82,1983-06-13,1
13728,Don't Make Me Do It,Patrick Simmons,84,1983-06-13,1
13729,Boogie Down,Jarreau,86,1983-06-13,1
13730,You Are In My System,Robert Palmer,88,1983-06-13,1
13731,Never Tell An Angel (When Your Heart's On Fire),The Stompers,89,1983-06-13,1
13732,Hold Me 'til The Mornin' Comes,Paul Anka,90,1983-06-13,1
13733,Juicy Fruit,Mtume,92,1983-06-13,1
13734,Stand By,Roman Holliday,95,1983-06-13,1
13735,Rock 'n' Roll Is King,Electric Light Orchestra,57,1983-06-20,1
13736,War Games,"Crosby, Stills & Nash",70,1983-06-20,1
13737,Pieces Of Ice,Diana Ross,72,1983-06-20,1
13738,Puttin' On The Ritz,Taco,75,1983-06-20,1
13739,It's Inevitable,Charlie,76,1983-06-20,1
13740,The Safety Dance,Men Without Hats,90,1983-06-20,1
13741,Dead Giveaway,Shalamar,93,1983-06-20,1
13742,It's A Mistake,Men At Work,42,1983-06-27,1
13743,I'll Tumble 4 Ya,Culture Club,64,1983-06-27,1
13744,All Time High,Rita Coolidge,69,1983-06-27,1
13745,Blame It On Love,Smokey Robinson & Barbara Mitchell,79,1983-06-27,1
13746,Ewok Celebration,Meco,85,1983-06-27,1
13747,How Am I Supposed To Live Without You,Laura Branigan,87,1983-06-27,1
13748,Do You Compute?,Donnie Iris,88,1983-06-27,1
13749,Shy Boy (Don't It Make You Feel Good),Bananarama,89,1983-06-27,1
13750,Waiting For Your Love,Toto,90,1983-06-27,1
13751,West Coast Summer Nights,Tony Carey,91,1983-06-27,1
13752,Night Pulse,Double Image,95,1983-06-27,1
13753,Lawyers In Love,Jackson Browne,59,1983-07-04,1
13754,After The Fall,Journey,62,1983-07-04,1
13755,Fake Friends,Joan Jett & the Blackhearts,68,1983-07-04,1
13756,Human Touch,Rick Springfield,70,1983-07-04,1
13757,Who's Behind The Door?,Zebra,87,1983-07-04,1
13758,"Tonight, I Celebrate My Love",Peabo Bryson/Roberta Flack,89,1983-07-04,1
13759,Johnny B. Goode,Peter Tosh,95,1983-07-04,1
13760,"Promises, Promises",Naked Eyes,71,1983-07-11,1
13761,Total Eclipse Of The Heart,Bonnie Tyler,75,1983-07-11,1
13762,Til You And Your Lover Are Lovers Again,Engelbert Humperdinck,87,1983-07-11,1
13763,Legal Tender,The B-52s,88,1983-07-11,1
13764,Don't You Get So Mad,Jeffrey Osborne,89,1983-07-11,1
13765,Don't Change,INXS,90,1983-07-11,1
13766,When You Were Mine,Mitch Ryder,95,1983-07-11,1
13767,Human Nature,Michael Jackson,48,1983-07-18,1
13768,Tip Of My Tongue,The Tubes,72,1983-07-18,1
13769,Sharp Dressed Man,ZZ Top,80,1983-07-18,1
13770,You're Driving Me Out Of My Mind,Little River Band,81,1983-07-18,1
13771,Lady Love Me (One More Time),George Benson,87,1983-07-18,1
13772,Shiny Shiny,Haysi Fantayzee,88,1983-07-18,1
13773,Radio Free Europe,R.E.M.,90,1983-07-18,1
13774,Words,F.R. David,94,1983-07-18,1
13775,Tell Her About It,Billy Joel,38,1983-07-25,1
13776,Don't Cry,Asia,50,1983-07-25,1
13777,Making Love Out Of Nothing At All,Air Supply,62,1983-07-25,1
13778,Far From Over,Frank Stallone,69,1983-07-25,1
13779,You Belong To Me,The Doobie Brothers,82,1983-07-25,1
13780,Burning Down The House,Talking Heads,84,1983-07-25,1
13781,Cold Blooded,Rick James,86,1983-07-25,1
13782,A Million Miles Away,The Plimsouls,88,1983-07-25,1
13783,Get It Right,Aretha Franklin,89,1983-07-25,1
13784,Crazy,The Manhattans,90,1983-07-25,1
13785,(she's) Sexy + 17,Stray Cats,51,1983-08-01,1
13786,Kiss The Bride,Elton John,60,1983-08-01,1
13787,True,Spandau Ballet,67,1983-08-01,1
13788,Big Log,Robert Plant,86,1983-08-01,1
13789,Change,Tears For Fears,90,1983-08-01,1
13790,Holiday Road,Lindsey Buckingham,92,1983-08-01,1
13791,Maybe This Day,Kissing The Pink,95,1983-08-01,1
13792,Tell Her No,Juice Newton,65,1983-08-08,1
13793,High Time,Styx,81,1983-08-08,1
13794,The Night,The Animals,82,1983-08-08,1
13795,How Can I Refuse,Heart,84,1983-08-08,1
13796,Miracles,Stacy Lattisaw,85,1983-08-08,1
13797,Rainbow's End,Sergio Mendes,87,1983-08-08,1
13798,I Don't Wanna Dance,Eddy Grant,90,1983-08-08,1
13799,Don't You Know How Much I Love You,Ronnie Milsap,95,1983-08-08,1
13800,Telefone (long Distance Love Affair),Sheena Easton,67,1983-08-15,1
13801,Someone Belonging To Someone,Bee Gees,68,1983-08-15,1
13802,Don't Forget To Dance,The Kinks,71,1983-08-15,1
13803,Ship To Shore,Chris de Burgh,80,1983-08-15,1
13804,Everyday I Write The Book,Elvis Costello And The Attractions,82,1983-08-15,1
13805,It Must Be Love,Madness,85,1983-08-15,1
13806,Garden Party,Herb Alpert,88,1983-08-15,1
13807,Do It Again/Billie Jean,Club House,89,1983-08-15,1
13808,Bad Boys,Wham! U.K.,90,1983-08-15,1
13809,"Bad, Bad Billy",Snuff,93,1983-08-15,1
13810,Scarlet Fever,Kenny Rogers,94,1983-08-15,1
13811,Freak-A-Zoid,Midnight Star,95,1983-08-15,1
13812,King Of Pain,The Police,37,1983-08-22,1
13813,Islands In The Stream,Kenny Rogers Duet With Dolly Parton,58,1983-08-22,1
13814,One Thing Leads To Another,The Fixx,65,1983-08-22,1
13815,What Am I Gonna Do (I'm So In Love With You),Rod Stewart,69,1983-08-22,1
13816,Can't Shake Loose,Agnetha Faltskog,78,1983-08-22,1
13817,Hang On Now,Kajagoogoo,85,1983-08-22,1
13818,Living On The Edge,Jim Capaldi,89,1983-08-22,1
13819,Just Be Good To Me,The S.O.S. Band,90,1983-08-22,1
13820,Sitting At The Wheel,The Moody Blues,56,1983-08-29,1
13821,Suddenly Last Summer,The Motels,60,1983-08-29,1
13822,Delirious,Prince,74,1983-08-29,1
13823,Unconditional Love,Donna Summer,82,1983-08-29,1
13824,This Time,Bryan Adams,83,1983-08-29,1
13825,Foolin',Def Leppard,85,1983-08-29,1
13826,Fight Fire With Fire,Kansas,87,1983-08-29,1
13827,All I Need To Know,Bette Midler,88,1983-08-29,1
13828,What's She Got,Liquid Gold,90,1983-08-29,1
13829,Take Away,Big Ric,95,1983-08-29,1
13830,If Anyone Falls,Stevie Nicks,61,1983-09-05,1
13831,Everyday People,Joan Jett & the Blackhearts,73,1983-09-05,1
13832,Heart And Soul,Huey Lewis & The News,83,1983-09-05,1
13833,Spice Of Life,The Manhattan Transfer,85,1983-09-05,1
13834,Rockit,Herbie Hancock,86,1983-09-05,1
13835,"Baby, What About You",Crystal Gayle,88,1983-09-05,1
13836,Trouble In Paradise,Jarreau,89,1983-09-05,1
13837,You Put The Beat In My Heart,Eddie Rabbitt,90,1983-09-05,1
13838,Just Got Lucky,Joboxers,93,1983-09-05,1
13839,All Night Long (All Night),Lionel Richie,62,1983-09-12,1
13840,Dr. Heckyll & Mr. Jive,Men At Work,67,1983-09-12,1
13841,Modern Love,David Bowie,72,1983-09-12,1
13842,Love Is A Stranger,Eurythmics,81,1983-09-12,1
13843,Queen Of The Broken Hearts,Loverboy,82,1983-09-12,1
13844,Only You,Commodores,90,1983-09-12,1
13845,Cum On Feel The Noize,Quiet Riot,92,1983-09-12,1
13846,Break My Stride,Matthew Wilder,94,1983-09-12,1
13847,A Little Good News,Anne Murray,95,1983-09-12,1
13848,Uptown Girl,Billy Joel,70,1983-09-19,1
13849,Automatic Man,Michael Sembello,73,1983-09-19,1
13850,Love Is A Battlefield,Pat Benatar,78,1983-09-19,1
13851,Tender Is The Night,Jackson Browne,79,1983-09-19,1
13852,Send Her My Love,Journey,87,1983-09-19,1
13853,Masquerade,Berlin,88,1983-09-19,1
13854,Major Tom (Coming Home),Peter Schilling,89,1983-09-19,1
13855,You Know What To Do,Carly Simon,90,1983-09-19,1
13856,Should I Love You,Cee Farrow,93,1983-09-19,1
13857,Don't Girls Get Lonely,Glenn Shorrock,94,1983-09-19,1
13858,Canvas Of Life,Minor Detail,95,1983-09-19,1
13859,Life Gets Better,Graham Parker,96,1983-09-19,1
13860,My Town,Michael Stanley Band,72,1983-09-26,1
13861,Take Another Picture,Quarterflash,76,1983-09-26,1
13862,Mirror Man,The Human League,79,1983-09-26,1
13863,The Monkey Time,The Tubes,80,1983-09-26,1
13864,Wherever I Lay My Hat (That's My Home),Paul Young,85,1983-09-26,1
13865,Four Little Diamonds,Electric Light Orchestra,89,1983-09-26,1
13866,Don't Try To Stop It,Roman Holliday,90,1983-09-26,1
13867,Ain't Nobody,Chaka Khan,91,1983-09-26,1
13868,Mama,Genesis,93,1983-09-26,1
13869,Guns For Hire,AC/DC,95,1983-09-26,1
13870,Somebody's Gonna Love You,Lee Greenwood,96,1983-09-26,1
13871,P.Y.T. (Pretty Young Thing),Michael Jackson,75,1983-10-03,1
13872,How Many Times Can We Say Goodbye,Dionne Warwick & Luther Vandross,79,1983-10-03,1
13873,Stop Doggin' Me Around,Klique,84,1983-10-03,1
13874,Talking In Your Sleep,The Romantics,90,1983-10-03,1
13875,I Need You,The Pointer Sisters,91,1983-10-03,1
13876,On The Dark Side,John Cafferty & The Beaver Brown Band,94,1983-10-03,1
13877,Never Say Die (Give A Little Bit More),Cliff Richard,95,1983-10-03,1
13878,Say Say Say,Paul McCartney And Michael Jackson,26,1983-10-10,1
13879,Crumblin' Down,John Cougar Mellencamp,42,1983-10-10,1
13880,The Smile Has Left Your Eyes,Asia,65,1983-10-10,1
13881,Souls,Rick Springfield,70,1983-10-10,1
13882,Invisible Hands,Kim Carnes,78,1983-10-10,1
13883,Time Will Reveal,Debarge,80,1983-10-10,1
13884,Baby I Lied,Deborah Allen,81,1983-10-10,1
13885,Stay With Me Tonight,Jeffrey Osborne,89,1983-10-10,1
13886,Is This The End,New Edition,90,1983-10-10,1
13887,Church Of The Poison Mind,Culture Club,54,1983-10-17,1
13888,Why Me?,Irene Cara,56,1983-10-17,1
13889,In A Big Country,Big Country,73,1983-10-17,1
13890,The Way He Makes Me Feel,Barbra Streisand,80,1983-10-17,1
13891,When The Lights Go Out,Naked Eyes,85,1983-10-17,1
13892,I Am Love,Jennifer Holliday,89,1983-10-17,1
13893,Favorite Waste Of Time,Bette Midler,90,1983-10-17,1
13894,"Lady, Lady, Lady","Joe ""Bean"" Esposito",91,1983-10-17,1
13895,I Just Can't Walk Away,Four Tops,93,1983-10-17,1
13896,Caught In The Game,Survivor,95,1983-10-17,1
13897,I Think You'll Remember Tonight,Axe,98,1983-10-17,1
13898,Say It Isn't So,Daryl Hall John Oates,30,1983-10-24,1
13899,I Guess That's Why They Call It The Blues,Elton John,65,1983-10-24,1
13900,I Won't Stand In Your Way,Stray Cats,72,1983-10-24,1
13901,What's New,Linda Ronstadt & The Nelson Riddle Orchestra,84,1983-10-24,1
13902,Lady Down On Love,Alabama,87,1983-10-24,1
13903,Holiday,Madonna,88,1983-10-24,1
13904,Lucky,Eye To Eye,90,1983-10-24,1
13905,No One Can Love You More Than Me,Melissa Manchester,91,1983-10-24,1
13906,Allies,Heart,93,1983-10-24,1
13907,Twist Of Fate,Olivia Newton-John,49,1983-10-31,1
13908,Synchronicity II,The Police,54,1983-10-31,1
13909,Union Of The Snake,Duran Duran,59,1983-10-31,1
13910,Owner Of A Lonely Heart,Yes,62,1983-10-31,1
13911,Allergies,Paul Simon,68,1983-10-31,1
13912,Joanna,Kool & The Gang,90,1983-10-31,1
13913,Street Of Dreams,Rainbow,93,1983-10-31,1
13914,Dirty Looks,Juice Newton,95,1983-10-31,1
13915,Undercover Of The Night,The Rolling Stones,48,1983-11-07,1
13916,If I'd Been The One,Thirty Eight Special,62,1983-11-07,1
